reporter_iso3,reporter_name,reference_year,gdp_current_usd,population_total,gdp_growth_annual_pct,trade_pct_of_gdp,has_gdp_data,has_population_data,has_gdp_growth_data,has_trade_pct_gdp_data
ARM,Armenia,2018,12457940695.0,2969000,5.2,92.47310702,True,True,True,True
ARM,Armenia,2019,13619290539.0,2962500,7.599999999,97.84700487,True,True,True,True
ARM,Armenia,2020,12641698583.0,2961500,-7.199999999,70.12135714,True,True,True,True
ARM,Armenia,2021,13878908629.0,2962300,5.800000001,79.24890576,True,True,True,True
ARM,Armenia,2022,19513506553.0,2969200,12.6,103.8786292,True,True,True,True
ARM,Armenia,2023,24185982216.0,2964300,8.3,123.4187501,True,True,True,True
ARM,Armenia,2024,25955275380.0,3033500,5.9,150.0647266,True,True,True,True
ASM,American Samoa,2015,673000000.0,52878,3.149606299,162.4071322,True,True,True,True
ASM,American Samoa,2016,671000000.0,52245,-1.679389313,159.1654247,True,True,True,True
ASM,American Samoa,2017,612000000.0,51586,-6.98757764,161.4379085,True,True,True,True
ASM,American Samoa,2018,639000000.0,50908,2.671118531,171.8309859,True,True,True,True
ASM,American Samoa,2019,647000000.0,50209,-0.487804878,156.568779,True,True,True,True
ASM,American Samoa,2020,721000000.0,49761,4.411764706,154.368932,True,True,True,True
ASM,American Samoa,2021,750000000.0,49225,-0.782472613,136.8,True,True,True,True
ASM,American Samoa,2022,871000000.0,48342,1.735015773,124.684271,True,True,True,True
ASM,American Samoa,2023,,47521,,,False,True,False,False
ASM,American Samoa,2024,,46765,,,False,True,False,False
ATG,Antigua and Barbuda,2015,1437485185.0,89409,1.421619976,130.0715499,True,True,True,True
ATG,Antigua and Barbuda,2016,1489603704.0,89969,4.120367544,132.0259179,True,True,True,True
ATG,Antigua and Barbuda,2017,1534855556.0,90468,2.71272658,127.6643236,True,True,True,True
ATG,Antigua and Barbuda,2018,1661529630.0,90926,6.712004872,130.6551527,True,True,True,True
ATG,Antigua and Barbuda,2019,1726448148.0,91364,3.172221937,137.5377836,True,True,True,True
ATG,Antigua and Barbuda,2020,1411637037.0,91846,-18.86877652,94.28952989,True,True,True,True
ATG,Antigua and Barbuda,2021,1602125926.0,92349,8.172863112,101.0749606,True,True,True,True
ATG,Antigua and Barbuda,2022,1857114815.0,92840,8.497763423,118.3025841,True,True,True,True
ATG,Antigua and Barbuda,2023,2054096296.0,93316,3.865501601,,True,True,True,False
ATG,Antigua and Barbuda,2024,2162366667.0,93772,2.540441939,,True,True,True,False
AUS,Australia,2015,1356810000000.0,23815995,2.164347806,41.49475069,True,True,True,True
AUS,Australia,2016,1211590000000.0,24190907,2.755640655,40.81340222,True,True,True,True
AUS,Australia,2017,1330890000000.0,24592588,2.293310302,42.03541353,True,True,True,True
AUS,Australia,2018,1433140000000.0,24963258,2.874170395,43.57322536,True,True,True,True
AUS,Australia,2019,1398350000000.0,25334826,2.194017036,46.00168271,True,True,True,True
AUS,Australia,2020,1333340000000.0,25649248,-0.133531904,44.4995641,True,True,True,True
AUS,Australia,2021,1560620000000.0,25685412,2.006948443,40.20223594,True,True,True,True
AUS,Australia,2022,1695630000000.0,26018721,4.253045592,45.69464188,True,True,True,True
AUS,Australia,2023,1734450000000.0,26659922,3.583821008,49.04433932,True,True,True,True
AUS,Australia,2024,1757020000000.0,27194286,1.373407734,47.14538111,True,True,True,True
AUT,Austria,2015,379546000000.0,8642699,1.303523318,103.1175817,True,True,True,True
AUT,Austria,2016,393687000000.0,8736668,2.117219645,101.5734946,True,True,True,True
AUT,Austria,2017,414926000000.0,8797566,2.27224992,105.5560668,True,True,True,True
AUT,Austria,2018,452582000000.0,8840521,2.484221141,108.37797,True,True,True,True
AUT,Austria,2019,442984000000.0,8879920,1.754976196,108.2072849,True,True,True,True
AUT,Austria,2020,434398000000.0,8916864,-6.318255092,99.94821411,True,True,True,True
AUT,Austria,2021,480466000000.0,8955797,4.923091717,111.0329321,True,True,True,True
AUT,Austria,2022,473221000000.0,9041851,5.330963794,123.5795787,True,True,True,True
AUT,Austria,2023,516671000000.0,9131761,-0.786244289,115.1529148,True,True,True,True
AUT,Austria,2024,534791000000.0,9177982,-0.659089573,108.8257778,True,True,True,True
AZE,Azerbaijan,2015,53076235355.0,9649341,1.049546412,72.60150791,True,True,True,True
AZE,Azerbaijan,2016,37866996883.0,9757812,-3.063598423,90.07731873,True,True,True,True
AZE,Azerbaijan,2017,40866627352.0,9854033,0.153614662,90.40231568,True,True,True,True
AZE,Azerbaijan,2018,47112470052.0,9939771,1.500401672,91.67257654,True,True,True,True
AZE,Azerbaijan,2019,48174235294.0,10024283,2.479808792,85.81814541,True,True,True,True
AZE,Azerbaijan,2020,42693000000.0,10093121,-4.198960653,72.01786765,True,True,True,True
