typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,download_year,reporter_batch_number,download_timestamp
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,0,W00,World,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,300478647816.83,300478647816.83,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,4,AFG,Afghanistan,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,2175131084.038,2175131084.038,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,8,ALB,Albania,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,11300445.28,11300445.28,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,12,DZA,Algeria,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,440129006.792,440129006.792,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,16,ASM,American Samoa,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,25003.397,25003.397,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,20,AND,Andorra,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,4710.686,4710.686,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,24,AGO,Angola,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,273288764.03,273288764.03,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,28,ATG,Antigua and Barbuda,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,72148.63,72148.63,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,31,AZE,Azerbaijan,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,413415242.789,413415242.789,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,32,ARG,Argentina,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,11784473.115,11784473.115,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,36,AUS,Australia,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,264201817.568,264201817.568,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,40,AUT,Austria,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,47789470.29,47789470.29,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,44,BHS,Bahamas,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,463720.843,463720.843,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,48,BHR,Bahrain,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,2216450496.33,2216450496.33,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,50,BGD,Bangladesh,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,732721847.354,732721847.354,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,51,ARM,Armenia,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,68427688.956,68427688.956,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,52,BRB,Barbados,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,267559.159,267559.159,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,56,BEL,Belgium,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,4103435408.721,4103435408.721,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,60,BMU,Bermuda,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,3703.607,3703.607,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,64,BTN,Bhutan,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,141044.709,141044.709,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,68,BOL,Bolivia (Plurinational State of),0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,2855130.574,2855130.574,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,70,BIH,Bosnia Herzegovina,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,3062256.235,3062256.235,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,72,BWA,Botswana,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,6774532.495,6774532.495,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,76,BRA,Brazil,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,39584302.401,39584302.401,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,84,BLZ,Belize,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,308865.965,308865.965,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,90,SLB,Solomon Isds,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,15848.682,15848.682,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,92,VGB,Br. Virgin Isds,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,31960.781,31960.781,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,96,BRN,Brunei Darussalam,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,10580585.33,10580585.33,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,100,BGR,Bulgaria,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,17697315.55,17697315.55,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,104,MMR,Myanmar,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,82202030.917,82202030.917,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,108,BDI,Burundi,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,7509163.404,7509163.404,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,112,BLR,Belarus,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,4847721.733,4847721.733,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,116,KHM,Cambodia,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,38173479.182,38173479.182,0,False,True,2015,9,2026-07-06 03:02:56
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,X,Export,120,CMR,Cameroon,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,74330172.354,74330172.354,0,False,True,2015,9,2026-07-06 03:02:56
