typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,download_year,reporter_batch_number,download_timestamp
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,0,W00,World,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,884504496.37,884504496.37,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,31,AZE,Azerbaijan,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,13719.93,13719.93,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,36,AUS,Australia,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,764751.79,764751.79,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,40,AUT,Austria,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,104412.52,104412.52,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,48,BHR,Bahrain,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,25862.1,25862.1,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,56,BEL,Belgium,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,25717.45,25717.45,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,104,MMR,Myanmar,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,374221.99,374221.99,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,112,BLR,Belarus,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,34055.31,34055.31,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,124,CAN,Canada,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,1321981.98,1321981.98,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,156,CHN,China,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,28410084.68,28410084.68,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,170,COL,Colombia,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,564.82,564.82,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,203,CZE,Czechia,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,7327.18,7327.18,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,208,DNK,Denmark,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,5581.16,5581.16,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,246,FIN,Finland,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,1228017.36,1228017.36,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,251,FRA,France,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,538392.63,538392.63,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,276,DEU,Germany,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,5584718.58,5584718.58,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,941724.2,941724.2,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,348,HUN,Hungary,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,True,,False,,10143.58,10143.58,0,False,True,2018,1,2026-07-06 03:05:35
C,A,20180101,2018,52,2018,4,AFG,Afghanistan,X,Export,360,IDN,Indonesia,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,,54029.2,54029.2,0,False,True,2018,1,2026-07-06 03:05:35
