typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,download_year,reporter_batch_number,download_timestamp
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,0,W00,World,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,11058184373.01,11058184373.01,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,32,ARG,Argentina,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,28197.83,28197.83,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,36,AUS,Australia,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,1379143953.33,1379143953.33,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,50,BGD,Bangladesh,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,23562676.5,23562676.5,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,56,BEL,Belgium,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,230616.47,230616.47,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,76,BRA,Brazil,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,47314.51,47314.51,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,104,MMR,Myanmar,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,101810.82,101810.82,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,116,KHM,Cambodia,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,36367.84,36367.84,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,124,CAN,Canada,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,555529.21,555529.21,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,144,LKA,Sri Lanka,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,17434451.99,17434451.99,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,152,CHL,Chile,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,2408801.03,2408801.03,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,156,CHN,China,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,2222938073.17,2222938073.17,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,170,COL,Colombia,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,1837.06,1837.06,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,251,FRA,France,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,164766.6,164766.6,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,276,DEU,Germany,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,727249.87,727249.87,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,344,HKG,"China, Hong Kong SAR",0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,101767636.57,101767636.57,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,360,IDN,Indonesia,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,187931213.85,187931213.85,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,364,IRN,Iran,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,22.33,22.33,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,380,ITA,Italy,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,1256985.85,1256985.85,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,392,JPN,Japan,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,2248730609.5,2248730609.5,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,410,KOR,Rep. of Korea,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,66422860.0,66422860.0,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,414,KWT,Kuwait,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,18210.87,18210.87,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,458,MYS,Malaysia,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,550120627.42,550120627.42,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,490,S19,"Other Asia, nes",0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,121547652.45,121547652.45,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,512,OMN,Oman,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,98350.14,98350.14,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,524,NPL,Nepal,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,4660.05,4660.05,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,531,CUW,Curaçao,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,6706557.1,6706557.1,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,554,NZL,New Zealand,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,297710.74,297710.74,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,566,NGA,Nigeria,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,1124.07,1124.07,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,579,NOR,Norway,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,15252.16,15252.16,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,586,PAK,Pakistan,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,78452.58,78452.58,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,598,PNG,Papua New Guinea,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,28949.78,28949.78,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,608,PHL,Philippines,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,552822795.06,552822795.06,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,634,QAT,Qatar,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,278731.99,278731.99,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,682,SAU,Saudi Arabia,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,303266.56,303266.56,0,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,699,IND,India,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,440543374.25,440543374.25,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,702,SGP,Singapore,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,2368336188.66,2368336188.66,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,704,VNM,Viet Nam,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,0.0,198627545.23,198627545.23,4,False,True,2021,2,2026-07-06 03:10:01
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,X,Export,752,SWE,Sweden,0,W00,World,H5,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,52370.75,52370.75,0,False,True,2021,2,2026-07-06 03:10:01
