reporter_iso,reporter_name,year,gdp_current_usd,population_total,gdp_growth_annual_pct,trade_pct_of_gdp
ATG,Antigua and Barbuda,2020,1411637037,91846,-18.86877652,94.28952989
ATG,Antigua and Barbuda,2021,1602125926,92349,8.172863112,101.0749606
ATG,Antigua and Barbuda,2022,1857114815,92840,8.497763423,118.3025841
ATG,Antigua and Barbuda,2023,2054096296,93316,3.865501601,
ATG,Antigua and Barbuda,2024,2162366667,93772,2.540441939,
AUS,Australia,2015,1.35681E+12,23815995,2.164347806,41.49475069
AUS,Australia,2016,1.21159E+12,24190907,2.755640655,40.81340222
AUS,Australia,2017,1.33089E+12,24592588,2.293310302,42.03541353
AUS,Australia,2018,1.43314E+12,24963258,2.874170395,43.57322536
AUS,Australia,2019,1.39835E+12,25334826,2.194017036,46.00168271
AUS,Australia,2020,1.33334E+12,25649248,-0.133531904,44.4995641
AUS,Australia,2021,1.56062E+12,25685412,2.006948443,40.20223594
AUS,Australia,2022,1.69563E+12,26018721,4.253045592,45.69464188
AUS,Australia,2023,1.73445E+12,26659922,3.583821008,49.04433932
AUS,Australia,2024,1.75702E+12,27194286,1.373407734,47.14538111
AUT,Austria,2015,3.79546E+11,8642699,1.303523318,103.1175817
AUT,Austria,2016,3.93687E+11,8736668,2.117219645,101.5734946
AUT,Austria,2017,4.14926E+11,8797566,2.27224992,105.5560668
AUT,Austria,2018,4.52582E+11,8840521,2.484221141,108.37797
AUT,Austria,2019,4.42984E+11,8879920,1.754976196,108.2072849
AUT,Austria,2020,4.34398E+11,8916864,-6.318255092,99.94821411
AUT,Austria,2021,4.80466E+11,8955797,4.923091717,111.0329321
AUT,Austria,2022,4.73221E+11,9041851,5.330963794,123.5795787
AUT,Austria,2023,5.16671E+11,9131761,-0.786244289,115.1529148
AUT,Austria,2024,5.34791E+11,9177982,-0.659089573,108.8257778
AZE,Azerbaijan,2015,53076235355,9649341,1.049546412,72.60150791
AZE,Azerbaijan,2016,37866996883,9757812,-3.063598423,90.07731873
